
                           Directed Graph
                           ==============

                | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10| 11| 12| 13
light red       | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
bright white    |-1 | 0 | 0 |-1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
muted yellow    | 0 |-1 |-1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0
dark orange     | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
shiny gold      | 0 | 0 | 0 | 0 |-1 |-1 | 0 | 1 | 2 | 0 | 0 | 0 | 0
dark olive      | 0 | 0 | 0 | 0 | 0 | 0 | 0 |-1 | 0 | 4 | 3 | 0 | 0
vibrant plum    | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |-2 | 0 | 0 | 6 | 5
dotted black    | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |-4 | 0 |-6 | 0
faded blue      | 0 | 0 | 0 | 0 | 0 | 0 |-1 | 0 | 0 | 0 |-3 | 0 |-5


